security_code,trade_time,cancel_buy_num,cancel_sell_num,cancel_buy_vol,cancel_sell_vol,cancel_buy_money,cancel_sell_money,cancel_buy_time_range,cancel_sell_time_range,cancel_buy_time_med,cancel_sell_time_med,cancel_buy_time_std,cancel_sell_time_std
000014,2023.04.20T09:30:06.000,4,2,10500,1000,89172,9350,562840,210,3030,105,280861.116568313911557,148.492424049174985
000014,2023.04.20T09:30:12.000,1,0,1000,0,9350,0,0,,4950,,,
000014,2023.04.20T09:30:18.000,0,7,0,3000,0,28080,,3910,,2990,,1238.278374733780537
000014,2023.04.20T09:30:24.000,1,6,9000,9900,81900,92597,0,3540,19020,2985,,1386.382583079673395
000014,2023.04.20T09:30:30.000,0,7,0,1400,0,13103,,8440,,12990,,3384.148623326390406
000014,2023.04.20T09:30:36.000,0,5,0,1400,0,13095,,17580,,13990,,6620.277939784703448
000014,2023.04.20T09:30:42.000,0,1,0,2500,0,23424.999999999996362,,0,,30120,,
000014,2023.04.20T09:31:12.000,1,1,100,2500,928.999999999999886,23350,0,0,66850,29570,,
000014,2023.04.20T09:31:18.000,0,1,0,500,0,4685,,0,,970540,,
000014,2023.04.20T09:31:24.000,0,4,0,400,0,3740,,4690,,15980,,2704.88909199619502
000014,2023.04.20T09:31:36.000,1,0,200,0,1688,0,0,,10,,,
000014,2023.04.20T09:32:12.000,1,0,600,0,5502,0,0,,111210,,,
000014,2023.04.20T09:32:18.000,0,1,0,700,0,6538,,0,,45940,,
000014,2023.04.20T09:32:30.000,0,1,0,700,0,6552,,0,,116440,,
000014,2023.04.20T09:32:42.000,0,1,0,300,0,2799,,0,,33730,,
000014,2023.04.20T09:32:54.000,0,1,0,2900,0,27086,,0,,94800,,
000014,2023.04.20T09:33:24.000,1,0,1400,0,13034,0,0,,39900,,,
000014,2023.04.20T09:33:30.000,0,1,0,300,0,2832,,0,,199820,,
000014,2023.04.20T09:33:36.000,1,0,9000,0,83250,0,0,,39470,,,
000014,2023.04.20T09:33:48.000,1,0,9000,0,83700,0,0,,24040,,,
000014,2023.04.20T09:33:54.000,1,1,10000,500,92200,4665,0,0,233550,2680,,
000014,2023.04.20T09:34:00.000,0,3,0,900,0,8390,,201050,,4500,,115866.113682991883251
000014,2023.04.20T09:34:06.000,0,2,0,200,0,1864,,0,,8990,,0
000014,2023.04.20T09:34:12.000,1,9,1000,17400,9200,162480,0,26060,7200,9230,,7491.004605525215993
000014,2023.04.20T09:34:30.000,1,2,700,4000,6502.99999999999909,37320,0,1040,21580,35740,,735.391052434009452
000014,2023.04.20T09:34:36.000,0,1,0,900,0,8379,,0,,25390,,
000014,2023.04.20T09:34:42.000,1,0,1000,0,9270,0,0,,54730,,,
000014,2023.04.20T09:34:48.000,0,1,0,7900,0,73470,,0,,21930,,
000014,2023.04.20T09:34:54.000,1,9,100,7300,927,68036,0,6360,15390,54150,,2378.441950334527518
000014,2023.04.20T09:35:00.000,0,2,0,2500,0,23660,,273410,,160265,,193330.065044213959481
000014,2023.04.20T09:35:24.000,0,2,0,5600,0,51986,,1163760,,630350,,822902.587673656526021
000014,2023.04.20T09:35:30.000,0,2,0,600,0,5592,,0,,93000,,0
000014,2023.04.20T09:35:36.000,1,1,9000,500,83250,4660,0,0,19420,93000,,
000014,2023.04.20T09:35:42.000,2,0,200,0,1852,0,3830,,17935,,2708.218971944476834,
000014,2023.04.20T09:35:48.000,1,0,600,0,5556,0,0,,28310,,,
000014,2023.04.20T09:35:54.000,1,0,100,0,927,0,0,,16180,,,
000014,2023.04.20T09:36:06.000,1,1,100,43900,927.999999999999886,408270.000000000058207,0,0,19770,104280,,
000014,2023.04.20T09:36:12.000,1,0,100,0,927.999999999999886,0,0,,3790,,,
