security_code,trade_time,open,close,high,low,td_buy_num,td_sell_num,td_buy_vol,td_sell_vol,td_buy_price,td_sell_price,td_buy_price_std,td_sell_price_std,td_vol,vwap,td_price_std,enormous_buy_money,enormous_sell_money,large_buy_money,large_sell_money,middle_buy_money,middle_sell_money,small_buy_money,small_sell_money,enormous_buy_active_money,enormous_sell_active_money,large_buy_active_money,large_sell_active_money,middle_buy_active_money,middle_sell_active_money,small_buy_active_money,small_sell_active_money,enormous_buy_vol,enormous_sell_vol,large_buy_vol,large_sell_vol,middle_buy_vol,middle_sell_vol,small_buy_vol,small_sell_vol,enormous_buy_active_vol,enormous_sell_active_vol,large_buy_active_vol,large_sell_active_vol,middle_buy_active_vol,middle_sell_active_vol,small_buy_active_vol,small_sell_active_vol
000014,2023.04.20T09:30:06.000,9.339999999999999,9.369999999999999,9.369999999999999,9.33,7,7,5700,2100,9.358421052631578,9.349047619047619,0.01,0.012149857925879,7800,9.355897435897436,0.011578684470437,,,,,64562,39312,8414,33664,,,,,50532,,2811,19633,,,,,6900,4200,900,3600,,,,,5400,,300,2100
000014,2023.04.20T09:30:12.000,9.349999999999999,9.359999999999999,9.359999999999999,9.349999999999999,1,9,100,5160,9.359999999999999,9.352519379844961,,0.005,5260,9.352661596958174,0.005163977794943,,,,,36091,,13104,49195,,,,,,,936,48259,,,,,3860,,1400,5260,,,,,,,100,5160
000014,2023.04.20T09:30:18.000,9.349999999999999,9.33,9.359999999999999,9.33,1,13,100,5540,9.359999999999999,9.348555956678699,,0.007510676161988,5640,9.348758865248226,0.008017837257373,,,,,48059,,4668,52727,,,,,,,936,51791,,,,,5140,,500,5640,,,,,,,100,5540
000014,2023.04.20T09:30:24.000,9.33,9.349999999999999,9.349999999999999,9.33,6,3,500,1200,9.349999999999999,9.33,0,0,1700,9.335882352941176,0.01,,,,,,,15871,15871,,,,,,,4675,11196,,,,,,,1700,1700,,,,,,,500,1200
000014,2023.04.20T09:30:30.000,9.33,9.32,9.33,9.32,0,7,0,4000,,9.32775,,0.003779644730092,4000,9.32775,0.003779644730092,,,,,,,37311,37311,,,,,,,,37311,,,,,,,4000,4000,,,,,,,,4000
000014,2023.04.20T09:30:36.000,9.33,9.32,9.33,9.32,2,4,200,1000,9.33,9.32,0,0,1200,9.321666666666667,0.005163977794943,,,,,,,11186,11186,,,,,,,1866,9320,,,,,,,1200,1200,,,,,,,200,1000
000014,2023.04.20T09:31:00.000,9.32,9.32,9.32,9.32,0,2,0,200,,9.32,,0,200,9.32,0,,,,,,,1864,1864,,,,,,,,1864,,,,,,,200,200,,,,,,,,200
000014,2023.04.20T09:31:12.000,9.32,9.32,9.32,9.32,0,3,0,2600,,9.32,,0,2600,9.32,0,,,,,,,24232,24232,,,,,,,,24232,,,,,,,2600,2600,,,,,,,,2600
000014,2023.04.20T09:31:18.000,9.32,9.32,9.32,9.32,0,1,0,500,,9.32,,,500,9.32,,,,,,,,4660,4660,,,,,,,,4660,,,,,,,500,500,,,,,,,,500
000014,2023.04.20T09:31:24.000,9.32,9.32,9.32,9.32,0,2,0,1700,,9.32,,0,1700,9.32,0,,,,,,,15844,15844,,,,,,,,15844,,,,,,,1700,1700,,,,,,,,1700
000014,2023.04.20T09:32:18.000,9.33,9.31,9.33,9.31,1,4,100,2500,9.33,9.319599999999999,,0.005,2600,9.32,0.007071067811865,,,,,931,,23301,24232,,,,,,,933,23299,,,,,100,,2500,2600,,,,,,,100,2500
000014,2023.04.20T09:32:24.000,9.32,9.31,9.32,9.31,0,2,0,600,,9.311666666666667,,0.007071067811865,600,9.311666666666667,0.007071067811865,,,,,4655,,932,5587,,,,,,,,5587,,,,,500,,100,600,,,,,,,,600
000014,2023.04.20T09:32:36.000,9.31,9.31,9.31,9.31,0,1,0,700,,9.31,,,700,9.31,,,,,,6517,,,6517,,,,,,,,6517,,,,,700,,,700,,,,,,,,700
000014,2023.04.20T09:32:42.000,9.32,9.31,9.32,9.31,1,6,100,2700,9.32,9.315555555555555,,0.004082482904639,2800,9.315714285714285,0.003779644730092,,,,,11172,,14912,26084,,,,,,,932,25152,,,,,1200,,1600,2800,,,,,,,100,2700
000014,2023.04.20T09:33:12.000,9.33,9.33,9.33,9.33,2,0,1000,0,9.33,,0,,1000,9.33,0,,,,,,,9330,9330,,,,,,,9330,,,,,,,,1000,1000,,,,,,,1000,
000014,2023.04.20T09:33:18.000,9.32,9.31,9.32,9.31,4,6,400,5700,9.32,9.310350877192982,0,0.004082482904639,6100,9.310983606557377,0.005270462766947,,,,,23275,51205,33522,5592,,,,,,51205,3728,1864,,,,,2500,5500,3600,600,,,,,,5500,400,200
000014,2023.04.20T09:33:24.000,9.33,9.32,9.33,9.32,2,1,700,1400,9.33,9.32,0,,2100,9.323333333333334,0.005773502691896,,,,,13048,,6531,19579,,,,,,,6531,13048,,,,,1400,,700,2100,,,,,,,700,1400
000014,2023.04.20T09:33:30.000,9.32,9.32,9.32,9.32,0,1,0,200,,9.32,,,200,9.32,,,,,,1864,,,1864,,,,,,,,1864,,,,,200,,,200,,,,,,,,200
000014,2023.04.20T09:33:42.000,9.33,9.32,9.33,9.32,2,8,1500,2800,9.33,9.325714285714285,0,0.003535533905933,4300,9.327209302325581,0.004830458915396,,,,,11184,,28923,40107,,,,,,,13995,26112,,,,,1200,,3100,4300,,,,,,,1500,2800
000014,2023.04.20T09:33:48.000,9.33,9.33,9.33,9.33,1,0,800,0,9.33,,,,800,9.33,,,,,,,,7464,7464,,,,,,,7464,,,,,,,,800,800,,,,,,,800,
000014,2023.04.20T09:33:54.000,9.32,9.32,9.32,9.32,0,16,0,9400,,9.32,,0,9400,9.32,0,,,,,61512,,26096,87608,,,,,,,,87608,,,,,6600,,2800,9400,,,,,,,,9400
000014,2023.04.20T09:34:00.000,9.31,9.3,9.32,9.3,1,38,200,23800,9.32,9.305966386554622,,0.004596058673938,24000,9.306083333333333,0.00498310235113,,,,,57660,78120,165686,145226,,,,,,78120,1864,143362,,,,,6200,8400,17800,15600,,,,,,8400,200,15400
000014,2023.04.20T09:34:06.000,9.3,9.3,9.3,9.3,0,1,0,200,,9.3,,,200,9.3,,,,,,1860,,,1860,,,,,,,,1860,,,,,200,,,200,,,,,,,,200
000014,2023.04.20T09:34:12.000,9.3,9.3,9.3,9.3,0,10,0,1300,,9.3,,0,1300,9.3,0,,,,,12090,,,12090,,,,,,,,12090,,,,,1300,,,1300,,,,,,,,1300
000014,2023.04.20T09:34:18.000,9.3,9.3,9.3,9.3,0,1,0,100,,9.3,,,100,9.3,,,,,,930,,,930,,,,,,,,930,,,,,100,,,100,,,,,,,,100
000014,2023.04.20T09:34:24.000,9.3,9.289999999999999,9.3,9.289999999999999,0,17,0,21400,,9.295654205607476,,0.00492592183072,21400,9.295654205607476,0.00492592183072,,,,112530,64123,52024,134804,34373,,,,112530,,52024,,34373,,,,12100,6900,5600,14500,3700,,,,12100,,5600,,3700
