Loading channels: ...working... done
No match found for: torch. Search: *torch*
# Name                       Version           Build  Channel             
_pytorch_select                  0.1           cpu_0  anaconda/pkgs/main  
_pytorch_select                  0.1           cpu_0  pkgs/main           
_pytorch_select                  0.2           gpu_0  anaconda/pkgs/main  
_pytorch_select                  0.2           gpu_0  pkgs/main           
backpack-for-pytorch           1.4.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
backpack-for-pytorch           1.5.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
backpack-for-pytorch           1.5.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
backpack-for-pytorch           1.5.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
blitz-bayesian-pytorch           0.2.7    pyhd8ed1ab_0  anaconda/cloud/conda-forge
blitz-bayesian-pytorch           0.2.8    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.1.0               0  anaconda/cloud/pytorch
botorch                        0.1.1               0  anaconda/cloud/pytorch
botorch                        0.1.2               0  anaconda/cloud/pytorch
botorch                        0.1.3               0  anaconda/cloud/pytorch
botorch                        0.1.4               0  anaconda/cloud/pytorch
botorch                        0.2.0               0  anaconda/cloud/pytorch
botorch                        0.2.1               0  anaconda/cloud/pytorch
botorch                        0.2.2               0  anaconda/cloud/pytorch
botorch                        0.2.2            py_0  anaconda/cloud/conda-forge
botorch                        0.2.3               0  anaconda/cloud/pytorch
botorch                        0.2.4               0  anaconda/cloud/pytorch
botorch                        0.2.5               0  anaconda/cloud/pytorch
botorch                        0.3.0               0  anaconda/cloud/pytorch
botorch                        0.3.0            py_0  anaconda/cloud/conda-forge
botorch                        0.3.1               0  anaconda/cloud/pytorch
botorch                        0.3.1    pyhd8ed1ab_1  anaconda/cloud/conda-forge
botorch                        0.3.2               0  anaconda/cloud/pytorch
botorch                        0.3.2    pyhd8ed1ab_1  anaconda/cloud/conda-forge
botorch                        0.3.3               0  anaconda/cloud/pytorch
botorch                        0.3.3    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.4.0               0  anaconda/cloud/pytorch
botorch                        0.4.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.5.0               0  anaconda/cloud/pytorch
botorch                        0.5.1               0  anaconda/cloud/pytorch
botorch                        0.5.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.5.1    pyhd8ed1ab_1  anaconda/cloud/conda-forge
botorch                        0.6.0               0  anaconda/cloud/pytorch
botorch                        0.6.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.6.1               0  anaconda/cloud/pytorch
botorch                        0.6.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.6.2               0  anaconda/cloud/pytorch
botorch                        0.6.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                      0.6.3.1               0  anaconda/cloud/pytorch
botorch                      0.6.3.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.6.4               0  anaconda/cloud/pytorch
botorch                        0.6.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.6.5               0  anaconda/cloud/pytorch
botorch                        0.6.5    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.6.6               0  anaconda/cloud/pytorch
botorch                        0.6.6    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.7.0               0  anaconda/cloud/pytorch
botorch                        0.7.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.7.1               0  anaconda/cloud/pytorch
botorch                        0.7.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
botorch                        0.7.2               0  anaconda/cloud/pytorch
